"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"ARM00087480","ROSARIO, AR","2012-05-01",,,"56",,"42"
"ARM00087480","ROSARIO, AR","2012-05-02",,,"58",,"48"
"ARM00087480","ROSARIO, AR","2012-05-03",,,"60",,
"ARM00087480","ROSARIO, AR","2012-05-04",,,"65",,"52"
"ARM00087480","ROSARIO, AR","2012-05-05",,,"67","78","56"
"ARM00087480","ROSARIO, AR","2012-05-06",,,"69","79","57"
"ARM00087480","ROSARIO, AR","2012-05-07",,,"69",,
"ARM00087480","ROSARIO, AR","2012-05-08",,,"71",,"62"
"ARM00087480","ROSARIO, AR","2012-05-09",,,"70","82","59"
"ARM00087480","ROSARIO, AR","2012-05-10","0.24",,"65","82","60"
"ARM00087480","ROSARIO, AR","2012-05-11","0.00",,"55","71","43"
"ARM00087480","ROSARIO, AR","2012-05-12",,,"51","68","40"
"ARM00087480","ROSARIO, AR","2012-05-13",,,"50",,"36"
"ARM00087480","ROSARIO, AR","2012-05-14",,,"57",,"42"
"ARM00087480","ROSARIO, AR","2012-05-15",,,"56",,"42"
"ARM00087480","ROSARIO, AR","2012-05-16",,,"64",,"48"
"ARM00087480","ROSARIO, AR","2012-05-17",,,"67","78","58"
"ARM00087480","ROSARIO, AR","2012-05-18","0.24",,"60","78",
"ARM00087480","ROSARIO, AR","2012-05-19","0.63",,"55",,"45"
"ARM00087480","ROSARIO, AR","2012-05-20","0.00",,"64",,"48"
"ARM00087480","ROSARIO, AR","2012-05-21","0.24",,"62","69","60"
"ARM00087480","ROSARIO, AR","2012-05-22","1.26",,"58","64","56"
"ARM00087480","ROSARIO, AR","2012-05-23","0.67",,"60",,"57"
"ARM00087480","ROSARIO, AR","2012-05-24","0.01",,"61",,"58"
"ARM00087480","ROSARIO, AR","2012-05-25","0.00",,"62",,"55"
"ARM00087480","ROSARIO, AR","2012-05-26",,,"64","70","55"
"ARM00087480","ROSARIO, AR","2012-05-27",,,"65","71","60"
"ARM00087480","ROSARIO, AR","2012-05-28",,,"66",,"60"
"ARM00087480","ROSARIO, AR","2012-05-29","0.00",,"66",,"58"
"ARM00087480","ROSARIO, AR","2012-05-30",,,"57","76","47"
"ARM00087480","ROSARIO, AR","2012-05-31",,,"54","69","42"
"ARM00087480","ROSARIO, AR","2012-06-01",,,"58",,"45"
"ARM00087480","ROSARIO, AR","2012-06-02",,,"60",,"47"
"ARM00087480","ROSARIO, AR","2012-06-03",,,"53","74","46"
"ARM00087480","ROSARIO, AR","2012-06-04",,,"49","62","38"
"ARM00087480","ROSARIO, AR","2012-06-05",,,"48",,"35"
"ARM00087480","ROSARIO, AR","2012-06-06",,,"43","60","36"
"ARM00087480","ROSARIO, AR","2012-06-07",,,"35",,"22"
"ARM00087480","ROSARIO, AR","2012-06-08",,,"39",,"24"
"ARM00087480","ROSARIO, AR","2012-06-09",,,"41","58","27"
"ARM00087480","ROSARIO, AR","2012-06-10",,,"48",,"36"
"ARM00087480","ROSARIO, AR","2012-06-11",,,"48","66","35"
"ARM00087480","ROSARIO, AR","2012-06-12",,,"59",,"35"
"ARM00087480","ROSARIO, AR","2012-06-13",,,"65",,"57"
"ARM00087480","ROSARIO, AR","2012-06-14",,,"61","78","53"
"ARM00087480","ROSARIO, AR","2012-06-15","0.00",,"59","69","55"
"ARM00087480","ROSARIO, AR","2012-06-16","0.00",,"48","61",
"ARM00087480","ROSARIO, AR","2012-06-17",,,"44","55","41"
"ARM00087480","ROSARIO, AR","2012-06-18","0.02",,"45",,"43"
"ARM00087480","ROSARIO, AR","2012-06-19","0.00",,"46",,"37"
"ARM00087480","ROSARIO, AR","2012-06-20",,,"48",,"35"
"ARM00087480","ROSARIO, AR","2012-06-21","0.00",,"54",,"37"
"ARM00087480","ROSARIO, AR","2012-06-22",,,"49",,"33"
"ARM00087480","ROSARIO, AR","2012-06-23",,,"51","69","35"
"ARM00087480","ROSARIO, AR","2012-06-24",,,"56",,"40"
"ARM00087480","ROSARIO, AR","2012-06-25",,,"48","71","35"
"ARM00087480","ROSARIO, AR","2012-06-26",,,"53",,"36"
"ARM00087480","ROSARIO, AR","2012-06-27",,,"65",,"45"
"ARM00087480","ROSARIO, AR","2012-06-28",,,"67","78","59"
"ARM00087480","ROSARIO, AR","2012-06-29","0.00",,"61","74","56"
"ARM00087480","ROSARIO, AR","2012-06-30","0.02",,"60","69","55"
"ARM00087480","ROSARIO, AR","2012-07-01","0.00",,"68",,"58"
"ARM00087480","ROSARIO, AR","2012-07-02","0.31",,"55","83",
"ARM00087480","ROSARIO, AR","2012-07-03","0.02",,"46","53","42"
"ARM00087480","ROSARIO, AR","2012-07-04","0.00",,"46","52","40"
"ARM00087480","ROSARIO, AR","2012-07-05","0.02",,"43",,"34"
"ARM00087480","ROSARIO, AR","2012-07-06","0.00",,"44","55","36"
"ARM00087480","ROSARIO, AR","2012-07-07",,,"43",,"28"
"ARM00087480","ROSARIO, AR","2012-07-08",,,"50",,"31"
"ARM00087480","ROSARIO, AR","2012-07-09",,,"46","62","34"
"ARM00087480","ROSARIO, AR","2012-07-10",,,"45","62","34"
"ARM00087480","ROSARIO, AR","2012-07-11",,,"39","57","22"
"ARM00087480","ROSARIO, AR","2012-07-12",,,"48",,"25"
"ARM00087480","ROSARIO, AR","2012-07-13",,,"51",,"38"
"ARM00087480","ROSARIO, AR","2012-07-14",,,"45","67",
"ARM00087480","ROSARIO, AR","2012-07-15",,,"42","54","36"
"ARM00087480","ROSARIO, AR","2012-07-16",,,"40",,"28"
"ARM00087480","ROSARIO, AR","2012-07-17",,,"36",,"25"
"ARM00087480","ROSARIO, AR","2012-07-18",,,"52",,"27"
"ARM00087480","ROSARIO, AR","2012-07-19",,,"50",,"34"
"ARM00087480","ROSARIO, AR","2012-07-20",,,"52","70","36"
"ARM00087480","ROSARIO, AR","2012-07-21",,,"56",,"38"
"ARM00087480","ROSARIO, AR","2012-07-22",,,"50","72","36"
"ARM00087480","ROSARIO, AR","2012-07-23",,,"51","64","38"
"ARM00087480","ROSARIO, AR","2012-07-24",,,"51","64","41"
"ARM00087480","ROSARIO, AR","2012-07-25",,,"42","61","25"
"ARM00087480","ROSARIO, AR","2012-07-26",,,"46",,"29"
"ARM00087480","ROSARIO, AR","2012-07-27",,,"44","64","28"
"ARM00087480","ROSARIO, AR","2012-07-28",,,"48",,"32"
"ARM00087480","ROSARIO, AR","2012-07-29",,,"49","68","37"
"ARM00087480","ROSARIO, AR","2012-07-30",,,"38","58","22"
"ARM00087480","ROSARIO, AR","2012-07-31",,,"45","56","29"
"ARM00087480","ROSARIO, AR","2012-08-01","0.00",,"50","53","42"
"ARM00087480","ROSARIO, AR","2012-08-02","0.12",,"50",,"41"
"ARM00087480","ROSARIO, AR","2012-08-03","0.28",,"54","60","49"
"ARM00087480","ROSARIO, AR","2012-08-04","0.00",,"53","56",
"ARM00087480","ROSARIO, AR","2012-08-05","0.00",,"53",,"45"
"ARM00087480","ROSARIO, AR","2012-08-06",,,"56",,"45"
"ARM00087480","ROSARIO, AR","2012-08-07","0.67",,"56","65","50"
"ARM00087480","ROSARIO, AR","2012-08-08","0.51",,"52",,"44"
"ARM00087480","ROSARIO, AR","2012-08-09","0.00",,"60",,"49"
"ARM00087480","ROSARIO, AR","2012-08-10",,,"63",,"51"
"ARM00087480","ROSARIO, AR","2012-08-11",,,"69",,"53"
"ARM00087480","ROSARIO, AR","2012-08-12","0.00",,"59","83","52"
"ARM00087480","ROSARIO, AR","2012-08-13",,,"48","66","33"
"ARM00087480","ROSARIO, AR","2012-08-14","0.00",,"59",,"39"
"ARM00087480","ROSARIO, AR","2012-08-15","1.46",,"63",,"57"
"ARM00087480","ROSARIO, AR","2012-08-16","0.00",,"63","71","59"
"ARM00087480","ROSARIO, AR","2012-08-17","0.98",,"64","69","61"
"ARM00087480","ROSARIO, AR","2012-08-18","1.46",,"59","64","55"
"ARM00087480","ROSARIO, AR","2012-08-19","0.00",,"55",,"42"
"ARM00087480","ROSARIO, AR","2012-08-20","0.00",,"59","67","49"
"ARM00087480","ROSARIO, AR","2012-08-21","0.00",,"54","68","43"
"ARM00087480","ROSARIO, AR","2012-08-22",,,"71",,"47"
"ARM00087480","ROSARIO, AR","2012-08-23",,,"68","86",
"ARM00087480","ROSARIO, AR","2012-08-24","0.43",,"52","69","46"
"ARM00087480","ROSARIO, AR","2012-08-25","0.00",,"46","60",
"ARM00087480","ROSARIO, AR","2012-08-26",,,"47","56","37"
"ARM00087480","ROSARIO, AR","2012-08-27",,,"45","55","33"
"ARM00087480","ROSARIO, AR","2012-08-28",,,"49",,"36"
"ARM00087480","ROSARIO, AR","2012-08-29",,,"55",,"42"
"ARM00087480","ROSARIO, AR","2012-08-30",,,"60",,"49"
"ARM00087480","ROSARIO, AR","2012-08-31",,,"63",,"49"
"ARM00087480","ROSARIO, AR","2012-09-01",,,"66",,"51"
"ARM00087480","ROSARIO, AR","2012-09-02",,,"70",,
"ARM00087480","ROSARIO, AR","2012-09-03","0.00",,"57","85","51"
"ARM00087480","ROSARIO, AR","2012-09-04","0.00",,"62",,"51"
"ARM00087480","ROSARIO, AR","2012-09-05","0.20",,"56","67","54"
"ARM00087480","ROSARIO, AR","2012-09-06","0.47",,"55",,"54"
"ARM00087480","ROSARIO, AR","2012-09-07","2.60",,"60","61","54"
"ARM00087480","ROSARIO, AR","2012-09-08","0.02",,"62",,"50"
"ARM00087480","ROSARIO, AR","2012-09-09","0.00",,"59","75","53"
"ARM00087480","ROSARIO, AR","2012-09-10",,,"59",,"50"
"ARM00087480","ROSARIO, AR","2012-09-11",,,"62",,"48"
"ARM00087480","ROSARIO, AR","2012-09-12",,,"64",,"49"
"ARM00087480","ROSARIO, AR","2012-09-13",,,"65",,"52"
"ARM00087480","ROSARIO, AR","2012-09-14",,,"67","79","56"
"ARM00087480","ROSARIO, AR","2012-09-15",,,"73",,
"ARM00087480","ROSARIO, AR","2012-09-16",,,"72","87","59"
"ARM00087480","ROSARIO, AR","2012-09-17","0.00",,"65","82","59"
"ARM00087480","ROSARIO, AR","2012-09-18","0.00",,"57","71",
"ARM00087480","ROSARIO, AR","2012-09-19","1.85",,"54",,"50"
"ARM00087480","ROSARIO, AR","2012-09-20","0.00",,"50","64","44"
"ARM00087480","ROSARIO, AR","2012-09-21","0.24",,"54",,"42"
"ARM00087480","ROSARIO, AR","2012-09-22","0.00",,"55","71","38"
"ARM00087480","ROSARIO, AR","2012-09-23",,,"62",,
"ARM00087480","ROSARIO, AR","2012-09-24",,,"59","74","53"
"ARM00087480","ROSARIO, AR","2012-09-25",,,"50","65","38"
"ARM00087480","ROSARIO, AR","2012-09-26",,,"47",,"33"
"ARM00087480","ROSARIO, AR","2012-09-27",,,"56",,"44"
"ARM00087480","ROSARIO, AR","2012-09-28",,,"61","70","53"
"ARM00087480","ROSARIO, AR","2012-09-29",,,"65",,"54"
"ARM00087480","ROSARIO, AR","2012-09-30",,,"68",,"54"
"ARM00087480","ROSARIO, AR","2012-10-01","0.04",,"69","82","58"
"ARM00087480","ROSARIO, AR","2012-10-02","0.35",,"63","77",
"ARM00087480","ROSARIO, AR","2012-10-03","0.08",,"62",,
"ARM00087480","ROSARIO, AR","2012-10-04","0.00",,"60","73",
"ARM00087480","ROSARIO, AR","2012-10-05",,,"67",,
"ARM00087480","ROSARIO, AR","2012-10-06","2.56",,"67","82",
"ARM00087480","ROSARIO, AR","2012-10-07","0.63",,"64","71",
"ARM00087480","ROSARIO, AR","2012-10-08","0.04",,"64","66","62"
"ARM00087480","ROSARIO, AR","2012-10-09","0.35",,"64",,
"ARM00087480","ROSARIO, AR","2012-10-10","0.79",,"57","70","49"
"ARM00087480","ROSARIO, AR","2012-10-11","0.00",,"57",,"44"
"ARM00087480","ROSARIO, AR","2012-10-12",,,"62",,"49"
"ARM00087480","ROSARIO, AR","2012-10-13",,,"67",,"53"
"ARM00087480","ROSARIO, AR","2012-10-14",,,"73",,"61"
"ARM00087480","ROSARIO, AR","2012-10-15","0.16",,"68","86",
"ARM00087480","ROSARIO, AR","2012-10-16","1.26",,"59","67","54"
"ARM00087480","ROSARIO, AR","2012-10-17","0.04",,"63",,"56"
"ARM00087480","ROSARIO, AR","2012-10-18","0.00",,"63",,"50"
"ARM00087480","ROSARIO, AR","2012-10-19","0.08",,"66","75","62"
"ARM00087480","ROSARIO, AR","2012-10-20","0.67",,"65",,"58"
"ARM00087480","ROSARIO, AR","2012-10-21","0.03",,"68",,"58"
"ARM00087480","ROSARIO, AR","2012-10-22","4.02",,"64","79",
"ARM00087480","ROSARIO, AR","2012-10-23","0.04",,"61","71","55"
"ARM00087480","ROSARIO, AR","2012-10-24","0.00",,"63",,"49"
"ARM00087480","ROSARIO, AR","2012-10-25",,,"66",,"53"
"ARM00087480","ROSARIO, AR","2012-10-26","0.00",,"72",,
"ARM00087480","ROSARIO, AR","2012-10-27",,,"76",,"61"
"ARM00087480","ROSARIO, AR","2012-10-28",,,"76","87","66"
"ARM00087480","ROSARIO, AR","2012-10-29","2.01",,"73","87","68"
"ARM00087480","ROSARIO, AR","2012-10-30","0.04",,"68","76","61"
"ARM00087480","ROSARIO, AR","2012-10-31","0.00",,"67","75","60"
"ARM00087480","ROSARIO, AR","2012-11-01",,,"69",,"57"
"ARM00087480","ROSARIO, AR","2012-11-02",,,"71",,"61"
"ARM00087480","ROSARIO, AR","2012-11-03",,,"74","85","62"
"ARM00087480","ROSARIO, AR","2012-11-04",,,"76","87","66"
"ARM00087480","ROSARIO, AR","2012-11-05",,,"76",,"60"
"ARM00087480","ROSARIO, AR","2012-11-06",,,"81",,"66"
"ARM00087480","ROSARIO, AR","2012-11-07",,,"81","95",
"ARM00087480","ROSARIO, AR","2012-11-08",,,"85",,"69"
"ARM00087480","ROSARIO, AR","2012-11-09",,,"74","95",
"ARM00087480","ROSARIO, AR","2012-11-10","0.75",,"60",,"53"
"ARM00087480","ROSARIO, AR","2012-11-11","0.00",,"64",,"54"
"ARM00087480","ROSARIO, AR","2012-11-12","0.03",,"63",,"52"
"ARM00087480","ROSARIO, AR","2012-11-13","0.00",,"70",,"57"
"ARM00087480","ROSARIO, AR","2012-11-14",,,"69",,"60"
"ARM00087480","ROSARIO, AR","2012-11-15",,,"71",,"58"
"ARM00087480","ROSARIO, AR","2012-11-16",,,"73",,"60"
"ARM00087480","ROSARIO, AR","2012-11-17",,,"76",,"67"
"ARM00087480","ROSARIO, AR","2012-11-18",,,"71","86",
"ARM00087480","ROSARIO, AR","2012-11-19",,,"70",,"56"
"ARM00087480","ROSARIO, AR","2012-11-20",,,"77",,"63"
"ARM00087480","ROSARIO, AR","2012-11-21",,,"81",,"70"
"ARM00087480","ROSARIO, AR","2012-11-22","1.18",,"76","94","65"
"ARM00087480","ROSARIO, AR","2012-11-23","0.00",,"69","78","60"
"ARM00087480","ROSARIO, AR","2012-11-24",,,"69",,"55"
"ARM00087480","ROSARIO, AR","2012-11-25",,,"69","81","58"
"ARM00087480","ROSARIO, AR","2012-11-26",,,"74",,"63"
"ARM00087480","ROSARIO, AR","2012-11-27",,,"78",,"61"
"ARM00087480","ROSARIO, AR","2012-11-28",,,"73","94","66"
"ARM00087480","ROSARIO, AR","2012-11-29","0.04",,"71","84","63"
"ARM00087480","ROSARIO, AR","2012-11-30","1.54",,"71","82",
"ARM00087480","ROSARIO, AR","2012-12-01","0.00",,"70",,"57"
"ARM00087480","ROSARIO, AR","2012-12-02",,,"76",,
"ARM00087480","ROSARIO, AR","2012-12-03","0.00",,"75","92","69"
"ARM00087480","ROSARIO, AR","2012-12-04","0.31",,"76",,
"ARM00087480","ROSARIO, AR","2012-12-05","0.00",,"79",,"71"
"ARM00087480","ROSARIO, AR","2012-12-06","0.63",,"82",,
"ARM00087480","ROSARIO, AR","2012-12-07","0.98",,"70","97","60"
"ARM00087480","ROSARIO, AR","2012-12-08","0.00",,"71",,"55"
"ARM00087480","ROSARIO, AR","2012-12-09",,,"76",,"61"
"ARM00087480","ROSARIO, AR","2012-12-10",,,"79",,
"ARM00087480","ROSARIO, AR","2012-12-11","0.55",,"79",,"57"
"ARM00087480","ROSARIO, AR","2012-12-12","0.00",,"77",,"64"
"ARM00087480","ROSARIO, AR","2012-12-13",,,"78","92","64"
"ARM00087480","ROSARIO, AR","2012-12-14",,,"78",,"67"
"ARM00087480","ROSARIO, AR","2012-12-15","0.87",,"76","92",
"ARM00087480","ROSARIO, AR","2012-12-16","0.00",,"74","89",
"ARM00087480","ROSARIO, AR","2012-12-17","0.59",,"64","80",
"ARM00087480","ROSARIO, AR","2012-12-18","1.89",,"66",,"59"
"ARM00087480","ROSARIO, AR","2012-12-19","0.28",,"71","80","63"
"ARM00087480","ROSARIO, AR","2012-12-20","7.01",,"71",,
"ARM00087480","ROSARIO, AR","2012-12-21","0.00",,"73","81","60"
"ARM00087480","ROSARIO, AR","2012-12-22",,,"76",,"67"
"ARM00087480","ROSARIO, AR","2012-12-23",,,"79",,"70"
"ARM00087480","ROSARIO, AR","2012-12-24",,,"88",,"78"
"ARM00087480","ROSARIO, AR","2012-12-25",,,"80","99","73"
"ARM00087480","ROSARIO, AR","2012-12-26",,,"67","81","60"
"ARM00087480","ROSARIO, AR","2012-12-27",,,"72","78","57"
"ARM00087480","ROSARIO, AR","2012-12-28",,,"73",,"58"
"ARM00087480","ROSARIO, AR","2012-12-29",,,"75",,"62"
"ARM00087480","ROSARIO, AR","2012-12-30",,,"79",,"65"
"ARM00087480","ROSARIO, AR","2012-12-31",,,"82","92","74"
"ARM00087480","ROSARIO, AR","2013-01-01","0.00",,"65","90","52"
"ARM00087480","ROSARIO, AR","2013-01-02",,,"69",,"50"
"ARM00087480","ROSARIO, AR","2013-01-03",,,"72",,"61"
"ARM00087480","ROSARIO, AR","2013-01-04",,,"78",,
"ARM00087480","ROSARIO, AR","2013-01-05","0.31",,"76","93","69"
"ARM00087480","ROSARIO, AR","2013-01-06","0.00",,"76",,"65"
"ARM00087480","ROSARIO, AR","2013-01-07",,,"79",,"69"
"ARM00087480","ROSARIO, AR","2013-01-08","0.02",,"75","91",
"ARM00087480","ROSARIO, AR","2013-01-09","0.12",,"77",,"64"
"ARM00087480","ROSARIO, AR","2013-01-10","0.00",,"82",,"73"
"ARM00087480","ROSARIO, AR","2013-01-11",,,"80","93",
"ARM00087480","ROSARIO, AR","2013-01-12",,,"78","92","68"
"ARM00087480","ROSARIO, AR","2013-01-13",,,"79","89","68"
"ARM00087480","ROSARIO, AR","2013-01-14",,,"78","88","62"
"ARM00087480","ROSARIO, AR","2013-01-15",,,"80",,"65"
"ARM00087480","ROSARIO, AR","2013-01-16",,,"82","89",
"ARM00087480","ROSARIO, AR","2013-01-17","1.42",,"77","89","64"
"ARM00087480","ROSARIO, AR","2013-01-18","0.01",,"77","88","64"
"ARM00087480","ROSARIO, AR","2013-01-19","0.00",,"74","88","62"
"ARM00087480","ROSARIO, AR","2013-01-20",,,"73","85",
"ARM00087480","ROSARIO, AR","2013-01-21",,,"75",,"64"
